    LRGN[all]
            START,          END,         AREA,DRAG(PRESSURE),LIFT(PRESSURE),DRAG(SURF-STRESS),LIFT(SURF-STRESS),         DRAG,         LIFT,           CD,           CL
               -2,            2,       1.5152,       4.84132,       34.0231,          0.491081,        -0.0343239,       5.3324,      33.9887,     0.360907,      2.30042
                2,            2,            0,             0,             0,                 0,                 0,            0,            0,            0,            0

