    LRGN[body]
            START,          END,         AREA,DRAG(PRESSURE),LIFT(PRESSURE),DRAG(SURF-STRESS),LIFT(SURF-STRESS),         DRAG,         LIFT,           CD,           CL
               -3,            3,      16.2853,       52.9568,       54.5426,           1.95041,        -0.0697723,      54.9072,      54.4728,     0.620824,     0.615913
                3,            3,            0,             0,             0,                 0,                 0,            0,            0,            0,            0

    LRGN[rwing]
            START,          END,         AREA,DRAG(PRESSURE),LIFT(PRESSURE),DRAG(SURF-STRESS),LIFT(SURF-STRESS),         DRAG,         LIFT,           CD,           CL
               -3,            3,       2.4973,       26.1744,       84.7946,           0.62947,        -0.0729338,      26.8039,      84.7217,     0.303065,      0.95793
                3,            3,            0,             0,             0,                 0,                 0,            0,            0,            0,            0

    LRGN[fwing]
            START,          END,         AREA,DRAG(PRESSURE),LIFT(PRESSURE),DRAG(SURF-STRESS),LIFT(SURF-STRESS),         DRAG,         LIFT,           CD,           CL
               -3,            3,      1.68131,       7.08749,       50.7137,          0.459108,        -0.0305219,       7.5466,      50.6832,    0.0853277,     0.573064
                3,            3,            0,             0,             0,                 0,                 0,            0,            0,            0,            0

